Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
sidekick homolog 1 (chicken) ,SDK1,221935,cell adhesion,,CNV,,,Sdk1,,,no mouse coronal data,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,,,++,ubiquitous,,,CAM family adhesion molecule,Cell adhesion-mediated signaling;Cell adhesion;Neurogenesis,
"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C",SEMA3C,10512,secreted protein,,,interneuron,interneuron/layer6,Sema3c,,hV-mV,,hT-mT,18 ≠ 21,,,,laminar,medium,+++,"layer 2/3,6",+++,"layer 2/3,6",+++,layer 6 + scattered (2/3),+++++,sparse,+++++,sparse,Other signaling molecule;Membrane-bound signaling molecule,Receptor protein tyrosine kinase signaling pathway;Other receptor mediated signaling pathway;Neurogenesis;Angiogenesis;Heart development,
"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F",SEMA3F,6405,secreted protein,,,regional,,Sema3f,h Down,,,,,,V1 ≠ TEa,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+++,"layer 4,6",++,"layer 5s,6",Other signaling molecule;Membrane-bound signaling molecule,Receptor protein tyrosine kinase signaling pathway;Other receptor mediated signaling pathway;Neurogenesis;Angiogenesis,
"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G",SEMA4G,57715,secreted protein,,,,,Sema4g,,,,,,,,,scattered,medium,++,scattered,++,scattered,++,scattered,++++,scattered,++++,scattered,Other signaling molecule;Membrane-bound signaling molecule,Receptor protein tyrosine kinase signaling pathway;Cell communication,
"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B",SEMA5B,54437,secreted protein,,,layer 6b,,Sema5b,,hV-mV,,hT-mT,,,,,scattered,medium,+++,"scattered(2/3,5,6)",+++,"scattered(2/3,5,6)",+++,"scattered(2/3,5,6)",+++,layer 6b(6),+++,layer 6b(6),Other signaling molecule;Membrane-bound signaling molecule,Cell surface receptor mediated signal transduction;Intracellular signaling cascade;Cell communication;Other immune and defense;Other developmental process;Neurogenesis;Other oncogenesis,
Small EDRK-rich factor 1A (telomeric) ,SERF1A,8293,other intracellular,,HLS: (IMAGE clone ID)767345 and 305677 and 191877,,,Serf1,h Up,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,,,+,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
serum/glucocorticoid regulated kinase 1,SGK1,6446,kinase,other neurodegenerative,,,,Sgk1,,,no mouse coronal data,,,,,,scattered,medium,++,scattered+ubiquitous,++,scattered+ubiquitous,,,++++,"scattered+layer(2/3,5d,6)",,,Non-receptor serine/threonine protein kinase,Protein phosphorylation;Other intracellular signaling cascade;Inhibition of apoptosis;Other homeostasis activities,
Src-like-adaptor,SLA,6503,signal transduction,,,layer 6,,Sla,,,,,18 ≠ 21,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,layer 6b(6),+,layer 6b(6),Other signaling molecule;Other miscellaneous function protein;Transmembrane receptor regulatory/adaptor protein,Receptor protein tyrosine kinase signaling pathway;T-cell mediated immunity,
"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7",SLC17A7,57030,transporter,schizophrenia,,,,Slc17a7,,,,,17 ≠ 18,yes,,,widespread,high,+++++,"ubiquitous(2/3,4C,5/6)",+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Other transporter,Phosphate transport;Cation transport;Extracellular transport and import,Ionotropic glutamate receptor pathway->Vesicular Glutamate Transporter;;Metabotropic glutamate receptor group III pathway->Vesicular Glutamate Transporter;;;
"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8",SLC17A8,246213,transporter,,,layer 5,,Slc17a8,,,,,,,,,laminar,high,++++,sparse or scattered(5/6),++++,sparse or scattered(5/6),++++,sparse or scattered(5/6),++++,scattered(5),++++,scattered(5),Other transporter,Phosphate transport;Cation transport;Extracellular transport and import,Ionotropic glutamate receptor pathway->Vesicular Glutamate Transporter;;Metabotropic glutamate receptor group III pathway->Vesicular Glutamate Transporter;;;
"solute carrier family 18 (vesicular monoamine), member 1",SLC18A1,6570,transporter,,,,,Slc18a1,,,,,,,,,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,+,sparse to none,+,sparse to none,Other transporter;Amino acid transporter,Small molecule transport;Neuronal activities,5HT3 type receptor mediated signaling pathway->5HT vesicular transporter;;5HT2 type receptor mediated signaling pathway->5HT vesicular transporter;;5HT4 type receptor mediated signaling pathway->5HT vesicular transporter;;Dopamine receptor mediated signaling pathway->Synaptic vesicular amine transporter;;5HT1 type receptor mediated signaling pathway->5HT vesicular transporter;;Adrenaline and noradrenaline biosynthesis->Synaptic vesicular amine transporter;;Adrenaline and noradrenaline biosynthesis->Chromaffin granule amine transporter;;;;;;;;
"solute carrier family 18 (vesicular monoamine), member 2",SLC18A2,6571,transporter,,,,,Slc18a2,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,-,none,-,none,Other transporter;Amino acid transporter,Small molecule transport;Neuronal activities,5HT3 type receptor mediated signaling pathway->5HT vesicular transporter;;5HT2 type receptor mediated signaling pathway->5HT vesicular transporter;;5HT4 type receptor mediated signaling pathway->5HT vesicular transporter;;Dopamine receptor mediated signaling pathway->Synaptic vesicular amine transporter;;5HT1 type receptor mediated signaling pathway->5HT vesicular transporter;;Adrenaline and noradrenaline biosynthesis->Synaptic vesicular amine transporter;;Adrenaline and noradrenaline biosynthesis->Chromaffin granule amine transporter;;;;;;;;
"solute carrier family 18 (vesicular acetylcholine), member 3",SLC18A3,6572,transporter,,,,,Slc18a3,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+++,sparse,+++,sparse,Other transporter;Amino acid transporter,Small molecule transport;Neuronal activities,Muscarinic acetylcholine receptor 1 and 3 signaling pathway->vesicular acetylcholine transporter;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->vesicular acetylcholine transporter;;Nicotinic acetylcholine receptor signaling pathway->VAChT;;;;
"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",SLC1A1,6505,transporter,other neurodegenerative,,,,Slc1a1,,,,,,,,,widespread,medium,+++,"ubiquitous(2/3,6)",+++,ubiquitous,+++,ubiquitous,+++++,ubiquitous(5),+++++,ubiquitous(5),Other transporter,Amino acid transport;Ligand-mediated signaling;Ion transport;Synaptic transmission,Ionotropic glutamate receptor pathway->excitatory amino acid transporter;;Metabotropic glutamate receptor group III pathway->Excitatory amino acid transporter;;;
"solute carrier family 1 (glial high affinity glutamate transporter), member 2",SLC1A2,6506,transporter,epilepsy,,astrocyte,astrocyte,Slc1a2,,hV-mV,,hT-mT,,,,,scattered,high,+++++,scattered+glial,+++++,scattered+glial,+++++,scattered+glial,+++++,glial+ubiquitous,+++++,glial+ubiquitous,Other transporter,Amino acid transport;Ligand-mediated signaling;Ion transport;Synaptic transmission,Ionotropic glutamate receptor pathway->excitatory amino acid transporter;;Metabotropic glutamate receptor group III pathway->Excitatory amino acid transporter;;;
"solute carrier family 1 (glial high affinity glutamate transporter), member 3",SLC1A3,6507,transporter,epilepsy,,astrocyte,astrocyte,Slc1a3,,,no mouse coronal data,,,,,,scattered,high,++++,scattered+glial,++++,scattered+glial,,,++++,"glial,scattered",,,Other transporter,Amino acid transport;Ligand-mediated signaling;Ion transport;Synaptic transmission,Ionotropic glutamate receptor pathway->excitatory amino acid transporter;;Metabotropic glutamate receptor group III pathway->Excitatory amino acid transporter;;;
"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4",SLC1A4,6509,transporter,,,,,Slc1a4,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous,,,Other transporter,Amino acid transport;Ligand-mediated signaling;Ion transport;Synaptic transmission,
"solute carrier family 1 (neutral amino acid transporter), member 5",SLC1A5,6510,transporter,,,,,Slc1a5,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,Other transporter,Amino acid transport;Ligand-mediated signaling;Ion transport;Synaptic transmission,
"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6",SLC1A6,6511,transporter,epilepsy,,,,Slc1a6,,,no mouse coronal data,,,,,diff,widespread,medium,++,ubiquitous,++,ubiquitous,,,+,sparse to none,,,Other transporter,Amino acid transport;Ligand-mediated signaling;Ion transport;Synaptic transmission,Ionotropic glutamate receptor pathway->excitatory amino acid transporter;;Metabotropic glutamate receptor group III pathway->Excitatory amino acid transporter;;;
"solute carrier family 1 (glutamate transporter), member 7",SLC1A7,6512,transporter,,,,,Slc1a7,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,-,none,,,Other transporter,Amino acid transport;Ligand-mediated signaling;Ion transport;Synaptic transmission,Ionotropic glutamate receptor pathway->excitatory amino acid transporter;;Metabotropic glutamate receptor group III pathway->Excitatory amino acid transporter;;;
"solute carrier family 20 (phosphate transporter), member 1",SLC20A1,6574,transporter,,,layer 5,,Slc20a1,,hV-mV,,,,,V1 ≠ TEa,,widespread,high,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,layer 5+ubiquitous,++++,"layer 5,6+ubiquitous",Receptor;Other transporter,Phosphate transport;Transport,
"solute carrier family 23 (nucleobase transporters), member 3",SLC23A3,151295,transporter,microcephaly,,,,Slc23a3,,,no mouse coronal data,,,,,,ND,low,+,sparse to none,+,sparse to none,,,+,ubiquitous,,,Other transporter,Transport,
"solute carrier family 24 (sodium/potassium/calcium exchanger), member 3",SLC24A3,57419,transporter,,,layer 5,,Slc24a3,,hV-mV,,hT-mT,,,,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,+++++,layer 5+scattered,+++++,layer 5+scattered,Transporter,Cation transport,
"solute carrier family 25 (mitochondrial carrier: glutamate), member 22 ",SLC25A22,79751,transporter,epilepsy,,,,Slc25a22,,,,,,,,,widespread,high,++++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++,"layer 5,6+ubiquitous",+++,"layer 5,6+ubiquitous",Mitochondrial carrier protein,Small molecule transport,
"solute carrier family 2 (facilitated glucose transporter), member 1",SLC2A1,6513,transporter,microcephaly,,VEC,VEC,Slc2a1,,,,,,,,,scattered,high,++++,VEC,++++,VEC,++++,VEC,++++,VEC,++++,VEC,Carbohydrate transporter,Carbohydrate transport;Transport,
"solute carrier family 32 (GABA vesicular transporter), member 1",SLC32A1,140679,transporter,,,interneuron,interneuron,Slc32a1,,,,,,,,,scattered,high,+++++,scattered,+++++,scattered,+++++,scattered,+++++,scattered,+++++,scattered,Molecular function unclassified,Biological process unclassified,
"solute carrier family 6 (neurotransmitter transporter, GABA), member 1",SLC6A1,6529,transporter,autism,,interneuron,interneuron,Slc6a1,,,,,,,,,scattered,high,+++++,scattered,+++++,scattered,+++++,scattered,+++++,scattered,+++++,scattered,Other transporter,Small molecule transport;Extracellular transport and import,
"solute carrier family 6 (neurotransmitter transporter, GABA), member 11",SLC6A11,6538,transporter,epilepsy,,,,Slc6a11,,,,,,,,diff,scattered,medium,++,scattered,++,scattered,++,scattered,+++,scattered,+++,scattered,Other transporter,Small molecule transport;Extracellular transport and import;Synaptic transmission,
"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12",SLC6A12,6539,transporter,autism,,,interneuron,Slc6a12,,hV-mV,no mouse coronal data,,,,,,scattered,high,++++,scattered,++++,scattered,,,+++,sparse,,,Other transporter,Small molecule transport;Extracellular transport and import,
"solute carrier family 6 (neurotransmitter transporter, GABA), member 13",SLC6A13,6540,transporter,,HLS: (IMAGE clone ID)2029176,,interneuron,Slc6a13,,hV-mV,no mouse coronal data,,,,,,scattered,high,++++,scattered,++++,scattered,,,+++,sparse,,,Other transporter,Small molecule transport;Extracellular transport and import;Synaptic transmission,
"solute carrier family 6 (amino acid transporter), member 14 ",SLC6A14,11254,transporter,obesity,,,,Slc6a14,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,-,none,,,Amino acid transporter,Amino acid transport;Transport,
"solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2",SLC6A2,6530,transporter,depression,,,,Slc6a2,,,,,,,,,ND,low,-,none,-,none,-,none,-,none,-,none,Other transporter,Small molecule transport;Neuronal activities,Adrenaline and noradrenaline biosynthesis->Norepinephrine transporter;;
"solute carrier family 6 (neurotransmitter transporter, dopamine), member 3",SLC6A3,6531,transporter,Parkinson,,,,Slc6a3,,,,,,,,,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,-,none,-,none,Other transporter,Small molecule transport;Neuronal activities,Adrenaline and noradrenaline biosynthesis->Sodium-dependent dopamine transporter;;Parkinson disease->Dopamine transporter;;Dopamine receptor mediated signaling pathway->Sodium-dependent dopamine transporter;;Parkinson disease->Dopamine transporter;;;;;
"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",SLC6A4,6532,transporter,depression,,,,Slc6a4,,,,,,,,,ND,low,-,none,-,none,-,none,-,none,-,none,Other transporter,Small molecule transport;Neuronal activities,5HT4 type receptor mediated signaling pathway->5HT transporter;;5HT2 type receptor mediated signaling pathway->5HT transporter;;5HT3 type receptor mediated signaling pathway->5HT transporter;;5HT1 type receptor mediated signaling pathway->5HT transporter;;;;;
"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7",SLC6A7,6534,transporter,,,layer 5,,Slc6a7,,hV-mV,,hT-mT,,,,diff,widespread,high,++++,ubquitous,++++,ubquitous,++++,ubquitous,+++++,layer 5(6)+,+++++,layer 5(6)+,Amino acid transporter,Amino acid transport;Transport,
"solute carrier family 6 (neurotransmitter transporter, creatine), member 8",SLC6A8,6535,transporter,mental retardation,,,,Slc6a8,,,no mouse coronal data,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,,,+++,ubiquitous,,,Other transporter,Small molecule transport;Extracellular transport and import,Nicotinic acetylcholine receptor signaling pathway->high affinity choline transporter;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->high affinity choline transporter;;;
SMA3,SMA3,10571,,,HLS: (IMAGE clone ID)470261,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,,,,,,,,,
"SMAD, mothers against DPP homolog 1 (Drosophila)",SMAD1,4086,transcription factor,,microarray expression,,,Smad1,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,Other transcription factor,mRNA transcription regulation;Receptor protein serine/threonine kinase signaling pathway;Other intracellular signaling cascade;Ligand-mediated signaling;Developmental processes;Oncogenesis,Wnt signaling pathway->Mothers against decapentaplegic homolog 4;;TGF-beta signaling pathway->RSmads;;;
spermine synthase ,SMS,6611,metabolic enzyme,mental retardation,,,,Sms,,,,,,,,,widespread,high,++++,"ubiquitous(2/3,4C,5/6)",++++,ubiquitous,++++,ubiquitous,++,ubiquitous,++,ubiquitous,Synthase,Other metabolism,
"synaptosomal-associated protein, 23kDa",SNAP23,8773,synaptic protein,,,,,Snap23,h Up,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,,,+,ubiquitous,,,SNARE protein,General vesicle transport;Transport,"Thyrotropin-releasing hormone receptor signaling pathway->SNARE COMPLEX;;Metabotropic glutamate receptor group II pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Dopamine receptor mediated signaling pathway->SNARE Complex;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Opioid proopiomelanocortin pathway->SNARE COMPLEX;;Nicotinic acetylcholine receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Synaptic_vesicle_trafficking->Synaptosomal-associated protein, 25KD;;Cortocotropin releasing factor receptor signaling pathway->SNARE COMPLEX;;Muscarinic acetylcholine receptor 1 and 3 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Metabotropic glutamate receptor group III pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Alpha adrenergic receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;5HT2 type receptor mediated signaling pathway->SNARE Complex;;Adrenaline and noradrenaline biosynthesis->N-ethylmaleimide-sensitive factor attachment protein receptor;;Beta3 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT1 type receptor mediated signaling pathway->SNARE Complex;;Opioid prodynorphin pathway->SNARE COMPLEX;;Oxytocin receptor mediated signaling pathway->SNARE COMPLEX;;5HT4 type receptor mediated signaling pathway->SNARE Complex;;Ionotropic glutamate receptor pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Opioid proenkephalin pathway->SNARE COMPLEX;;Beta2 adrenergic receptor signaling pathway->SNARE COMPLEX;;Beta1 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT3 type receptor mediated signaling pathway->SNARE Complex;;;;;;;;;;;;;;;;;;;;;;;;"
"synaptosomal-associated protein, 25kDa",SNAP25,6616,synaptic protein,,,,,Snap25,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,SNARE protein,General vesicle transport;Transport,"Thyrotropin-releasing hormone receptor signaling pathway->SNARE COMPLEX;;Metabotropic glutamate receptor group II pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Dopamine receptor mediated signaling pathway->SNARE Complex;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Opioid proopiomelanocortin pathway->SNARE COMPLEX;;Nicotinic acetylcholine receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Synaptic_vesicle_trafficking->Synaptosomal-associated protein, 25KD;;Cortocotropin releasing factor receptor signaling pathway->SNARE COMPLEX;;Muscarinic acetylcholine receptor 1 and 3 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Metabotropic glutamate receptor group III pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Alpha adrenergic receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;5HT2 type receptor mediated signaling pathway->SNARE Complex;;Adrenaline and noradrenaline biosynthesis->N-ethylmaleimide-sensitive factor attachment protein receptor;;Beta3 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT1 type receptor mediated signaling pathway->SNARE Complex;;Opioid prodynorphin pathway->SNARE COMPLEX;;Oxytocin receptor mediated signaling pathway->SNARE COMPLEX;;5HT4 type receptor mediated signaling pathway->SNARE Complex;;Ionotropic glutamate receptor pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Opioid proenkephalin pathway->SNARE COMPLEX;;Beta2 adrenergic receptor signaling pathway->SNARE COMPLEX;;Beta1 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT3 type receptor mediated signaling pathway->SNARE Complex;;;;;;;;;;;;;;;;;;;;;;;;"
"synaptosomal-associated protein, 29kDa",SNAP29,9342,synaptic protein,,,,,Snap29,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,SNARE protein,General vesicle transport;Transport,"Thyrotropin-releasing hormone receptor signaling pathway->SNARE COMPLEX;;Metabotropic glutamate receptor group II pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Dopamine receptor mediated signaling pathway->SNARE Complex;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Opioid proopiomelanocortin pathway->SNARE COMPLEX;;Nicotinic acetylcholine receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Synaptic_vesicle_trafficking->Synaptosomal-associated protein, 25KD;;Cortocotropin releasing factor receptor signaling pathway->SNARE COMPLEX;;Muscarinic acetylcholine receptor 1 and 3 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Metabotropic glutamate receptor group III pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Alpha adrenergic receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;5HT2 type receptor mediated signaling pathway->SNARE Complex;;Adrenaline and noradrenaline biosynthesis->N-ethylmaleimide-sensitive factor attachment protein receptor;;Beta3 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT1 type receptor mediated signaling pathway->SNARE Complex;;Opioid prodynorphin pathway->SNARE COMPLEX;;Oxytocin receptor mediated signaling pathway->SNARE COMPLEX;;5HT4 type receptor mediated signaling pathway->SNARE Complex;;Ionotropic glutamate receptor pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Opioid proenkephalin pathway->SNARE COMPLEX;;Beta2 adrenergic receptor signaling pathway->SNARE COMPLEX;;Beta1 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT3 type receptor mediated signaling pathway->SNARE Complex;;;;;;;;;;;;;;;;;;;;;;;;"
"synaptosomal-associated protein, 91kDa homolog (mouse)",SNAP91,9892,synaptic protein,,,,,Snap91,,,,,,,,,widespread,high,++++,"ubiquitous(2/3,4C,5/6)",++++,ubiquitous,++++,ubiquitous,+++,ubiquitous,+++,ubiquitous,Vesicle coat protein,Receptor mediated endocytosis,
SNAP-associated protein,SNAPIN,23557,synaptic protein,,,,,Snapap,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
"synuclein, alpha (non A4 component of amyloid precursor) ",SNCA,6622,signal transduction,Parkinson,,,,Snca,,,,,17 ≠ 18,yes,,,laminar,high,+++++,"layer 2/3,(4C),5/6",+++++,"ubiquitous(5,6)",+++++,"ubiquitous(5,6)",+++++,"ubiquitous(2/3,5s,6)",+++++,"ubiquitous(2/3,5s,6)",Other chaperones;Other membrane traffic protein,Regulated exocytosis;Neurotransmitter release,Parkinson disease->alpha-Synuclein;;
"synuclein, alpha interacting protein (synphilin) ",SNCAIP,9627,signal transduction,Parkinson,,,,Sncaip,,,no mouse coronal data,,17 ≠ 18,yes,,,scattered,medium,+++,layer 4C+scattered,++,scattered+ubiquitous,,,++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,Parkinson disease->Synphilin;;
"synuclein, beta ",SNCB,6620,signal transduction,Parkinson,,,,Sncb,no mouse data,,no mouse data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,,,,,Other chaperones;Other membrane traffic protein,Regulated exocytosis;Neurotransmitter release,Parkinson disease->beta-Synuclein;;
"synuclein, gamma (breast cancer-specific protein 1)",SNCG,6623,signal transduction,other neurodegenerative,,,layer 3/5,Sncg,,hV-mV,,hT-mT,17 ≠ 18,no,,,scattered,high,+++++,scattered,+++++,"scattered(3,5/6+)",+++++,"scattered(3,5/6+)",+++++,sparse,+++++,sparse,Other signaling molecule;Other cytoskeletal proteins;Other miscellaneous function protein,MAPKKK cascade;Other apoptosis;Other oncogenesis,Parkinson disease->gamma-Synuclein;;
syntaphilin  ,SNPH,9751,synaptic protein,,,,,Snph,,,no mouse coronal data,,,,,,widespread,high,++++,scattered+ubiquitous,++++,scattered+ubiquitous,,,++++,ubiquitous,,,Other enzyme regulator;SNARE protein,Other signal transduction;Regulated exocytosis,
"syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)",SNTA1,6640,cytoskeletal protein,,,,,Snta1,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+,ubiquitous,,,Other cytoskeletal proteins;Non-motor actin binding protein,Other receptor mediated signaling pathway;Other intracellular signaling cascade;Neuromuscular synaptic transmission,
"syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)",SNTB1,6641,cytoskeletal protein,,,,layer 6,Sntb1,h Up,,,,,,,,laminar,medium,+++,layer 6,+++,sparse 6,+++,sparse 6,+,sparse to none,+,sparse to none,Other cytoskeletal proteins;Non-motor actin binding protein,Other receptor mediated signaling pathway;Other intracellular signaling cascade;Neuromuscular synaptic transmission,
"syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)",SNTB2,6645,cytoskeletal protein,,,,,Sntb2,,,no mouse coronal data,,,,,,laminar,medium,+++,"layer 2/3,6",+++,"layer 2/3,6",,,++++,"layer 2/3,5,6",,,Other cytoskeletal proteins;Non-motor actin binding protein,Other receptor mediated signaling pathway;Other intracellular signaling cascade;Neuromuscular synaptic transmission,
"syntrophin, gamma 1",SNTG1,54212,cytoskeletal protein,,,,,Sntg1,,,no mouse coronal data,,,,,,scattered,medium,+++,scattered,+++,scattered,,,++++,ubiquitous,,,Other cytoskeletal proteins;Non-motor actin binding protein,Other receptor mediated signaling pathway;Other intracellular signaling cascade;Neuromuscular synaptic transmission,
"syntrophin, gamma 2",SNTG2,54221,cytoskeletal protein,,,,,Sntg2,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,sparse to none,,,Other cytoskeletal proteins;Non-motor actin binding protein,Other receptor mediated signaling pathway;Other intracellular signaling cascade;Neuromuscular synaptic transmission,
sorting nexin 3,SNX3,8724,signal transduction,microcephaly,,,,Snx3,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
"superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))",SOD1,6647,metabolic enzyme,other neurodegenerative,,,,Sod1,,,,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,ubiquitous,+++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Other oxidoreductase,Immunity and defense,
"sortilin-related receptor, L(DLR class) A repeats-containing ",SORL1,6653,other membrane protein,Alzheimer,,,,Sorl1,,,,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,"ubiquitous(2/3,5)",+++++,"ubiquitous(2/3,5)",Other receptor;Transporter,Lipid and fatty acid transport;Lipid and fatty acid binding;Receptor mediated endocytosis;Transport,
"secreted protein, acidic, cysteine-rich (osteonectin)",SPARC,6678,extracellular matrix,,,,,Sparc,,,,,,,,,scattered,medium,+++,scattered+VEC,+++,scattered+VEC,+++,scattered+VEC,++++,scattered+VEC?,++++,scattered+VEC?,Molecular function unclassified,Biological process unclassified,
"secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)",SPP1,6696,secreted protein,,,,oligodendrocyte,Spp1,,hV-mV,,hT-mT,,,,,scattered,high,+++++,"scattered,oligodendrocyte",+++++,"scattered,oligodendrocyte",+++++,"scattered,oligodendrocyte",+++++,sparse,+++++,sparse,Other cytokine;Cell adhesion molecule;Defense/immunity protein;Other extracellular matrix,Cell adhesion;Cell structure,
"spectrin, beta, non-erythrocytic 4",SPTBN4,57731,cytoskeletal protein,schizophrenia,,,,Spnb4,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++++,ubiquitous,,,Non-motor actin binding protein,Cell structure,
